Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,ahp_dominant_muni,ahp_dominant_Pij,ahp_dominant_dist_m,agreement
10115795,Domanjševci,Murska Sobota,0.16346081453626088,Murska Sobota,0.1850090316556511,6743.1975914421455,1
10115809,Fikšinci,Murska Sobota,0.15482617544579397,Rogašovci,0.2161049653086366,4531.027513203902,0
10115817,Filovci,Murska Sobota,0.17806088160867617,Murska Sobota,0.2552296291162642,4496.239256151513,1
10115825,Fokovci,Moravske Toplice,0.23259172303704814,Murska Sobota,0.300608698963889,6751.527520118117,0
10115833,Gančani,Murska Sobota,0.28109839031096473,Murska Sobota,0.3239590159506683,3277.9062139261305,1
10115841,Gederovci,Murska Sobota,0.28442862565069316,Murska Sobota,0.4300594414215172,5299.513457714379,1
10115850,Gerlinci,Murska Sobota,0.17399771434160993,Murska Sobota,0.2040658262116449,6328.415779874759,1
10115868,Gorica,Puconci,0.5267530975035366,Puconci,0.4283407669828564,1450.9877404515564,1
10115876,Gornji Črnci,Cankova,0.2739498002159903,Cankova,0.3071348363986994,2904.289555287085,1
10115884,Gornji Petrovci,Gornji Petrovci,0.9940089465801246,Gornji Petrovci,0.9999998427656336,0.0,1
10115892,Gornji Slaveči,Rogašovci,0.12390326282216294,Rogašovci,0.2425896329838158,2943.4424732653683,1
10115906,Grad,Grad,0.9906182200183283,Grad,0.9999995699845038,0.0,1
10115914,Gradišče,Murska Sobota,0.5164763329439306,Murska Sobota,0.6281975408058605,1846.5522613907608,1
10115922,Hodoš,Hodoš,0.9921442113751391,Hodoš,0.9999996637908268,0.0,1
10115949,Ivanci,Murska Sobota,0.28430926297221265,Murska Sobota,0.4255750026606583,6693.413073865315,1
10115957,Ivanjševci,Murska Sobota,0.1907409303822824,Murska Sobota,0.2365223402791911,8771.181533976334,1
10115965,Ivanovci,Murska Sobota,0.20165927803586012,Murska Sobota,0.3742393859883786,7880.947461067717,1
10115973,Ižakovci,Beltinci,0.27659189036944815,Beltinci,0.3291832823462435,2926.9050721729795,1
10115981,Sveti Jurij,Rogašovci,0.6738053622748085,Rogašovci,0.8804206539105506,863.2998073251741,1
10115990,Kančevci,Murska Sobota,0.14290052411516346,Murska Sobota,0.3271377250784572,7942.941194096963,1
10116007,Korovci,Cankova,0.4939794045999385,Cankova,0.5823114227893192,1629.875826192109,1
10116015,Košarovci,Murska Sobota,0.16951758955682414,Murska Sobota,0.357049758045195,7775.366669710251,1
10116023,Kovačevci,Murska Sobota,0.1946431859729142,Murska Sobota,0.2695805726923057,6150.33608739795,1
10116031,Krajna,Murska Sobota,0.24662402388713583,Murska Sobota,0.4028880301759204,5516.9800275093,1
10116040,Kramarovci,Rogašovci,0.19757636129826595,Rogašovci,0.4270941691575726,3006.914302131312,1
10116058,Krašči,Murska Sobota,0.1966824108709125,Murska Sobota,0.2114914139483804,4305.944077691308,1
10116066,Križevci,Gornji Petrovci,0.2646513314856343,Gornji Petrovci,0.3983776967668939,3032.9086045285085,1
10116074,Krnci,Murska Sobota,0.23654128152466583,Murska Sobota,0.4280145048246431,6401.137643880301,1
10116082,Krog,Murska Sobota,0.6838517036682122,Murska Sobota,0.8110723953774376,3666.4216538735977,1
10116104,Krplivnik,Hodoš,0.5158118936085003,Hodoš,0.5619704329809571,1723.3055560874193,1
10116112,Kruplivnik,Murska Sobota,0.19244141227462794,Murska Sobota,0.2125393603575998,4475.394015676316,1
10116139,Kukeč,Murska Sobota,0.15567498693653023,Murska Sobota,0.3294235020418056,7748.186348335304,1
