Village_ID,Village_Name,euclidean_dominant_muni,euclidean_dominant_Pij,euclidean_dominant_dist_m,network_dominant_muni,network_dominant_Pij,network_dominant_dist_m,agreement,SIFRA,home_region
10086272,Lemberg pri Novi Cerkvi,Celje,0.23437791445503076,10205.611201687041,Celje,0.2231075643114754,3592.150554649077,1,139,Vojnik
10132100,Tublje pri Komnu,Sežana,0.19603387885207066,12933.26088038125,Sežana,0.2321316173374921,7524.367858890945,1,111,Sežana
10131405,Nadrožica,Komen,0.21517620734308343,3026.9887677360152,Komen,0.1624229861744724,5524.722818766077,1,49,Komen
10132274,Zagrajec,Nova Gorica,0.1982836297108903,15896.438626308724,Komen,0.1845703729884763,4718.78370343999,0,49,Komen
10113474,Ilovci,Ljutomer,0.469905726107065,3743.5471147028456,Ljutomer,0.487393482518613,4720.841974195075,1,63,Ljutomer
10117496,Kambreško,Tolmin,0.2262987319526833,9327.486263726149,Nova Gorica,0.1938200540558634,9581.744433537348,0,44,Kanal
10141575,Vrsno,Tolmin,0.3378241698215071,8249.557563893957,Tolmin,0.3103130557298193,8079.875258732636,1,46,Kobarid
10141303,Selce,Tolmin,0.38897536474892563,7531.487236927379,Tolmin,0.3926800223425333,9475.710992251466,1,128,Tolmin
10140471,Čadrg,Tolmin,0.7018445286571062,4070.049139752492,Tolmin,0.6127693860651462,7896.672454105252,1,128,Tolmin
10144272,Gozd,Tržič,0.3030895184583672,3448.15892905185,Kranj,0.2256649945561607,7879.612754115868,0,131,Tržič
10091659,Spodnja Javoršica,Ljubljana,0.34992726439525673,17358.859409534947,Ljubljana,0.3997697222317025,6186.545079683311,1,77,Moravče
10146445,Hramše,Velenje,0.19547368301058693,8157.184318133311,Celje,0.2553449285395704,6278.4672585104,0,190,Žalec
10086388,Lokovina,Velenje,0.19736300972876544,8251.021876107225,Velenje,0.2353223833188434,2235.205040993664,1,155,Dobrna
10124271,Gomila,Ptuj,0.3228214467307004,9059.078319564303,Ptuj,0.3374143737595449,5282.450457454186,1,18,Destrnik
10132746,Cezlak,Zreče,0.146455400439833,6070.23063812241,Slovenske Konjice,0.1355609649570756,4258.55036809752,0,113,Slovenska Bistrica
10121418,Tolsti Vrh,Novo mesto,0.4095438207995539,9113.724430769234,Novo mesto,0.3929444697894794,7100.533350700411,1,119,Šentjernej
10136431,Bukovica,Kranj,0.2415421390602108,9998.824930960638,Ljubljana,0.2523080822730747,8000.040100427776,0,122,Škofja Loka
17691490,Sv. Lenart,Ljubljana,0.18756189293645456,29264.33086540678,Ljubljana,0.2871809458074367,10502.20810213396,1,122,Škofja Loka
10146607,Ločica pri Vranskem,Vransko,0.29368513074750047,2223.9604313026794,Vransko,0.3817748333450642,2466.4767790846718,1,189,Vransko
10086612,Razgor,Celje,0.3258742661793249,7794.67767133446,Celje,0.3841399258449797,5520.016219708467,1,139,Vojnik
10123127,Čepno,Postojna,0.15704470195271397,14814.654906544398,Postojna,0.1383378821305123,10438.942382403357,1,91,Pivka
